fl	sample	correlation
135	ER_Veh_2	0
135	ER_Veh_3	0
136	ER_DHT_1	0
136	ER_DHT_2	0
136	ER_DHT_3	0
136	ER_Veh_1	0
136	ER_Veh_2	0
136	ER_Veh_3	0
137	ER_DHT_1	0
137	ER_DHT_2	0
137	ER_DHT_3	0
137	ER_Veh_1	0
137	ER_Veh_2	0
137	ER_Veh_3	0
138	ER_DHT_1	0
138	ER_DHT_2	0
138	ER_DHT_3	0
138	ER_Veh_1	0
138	ER_Veh_2	0
138	ER_Veh_3	0
139	ER_DHT_1	0
139	ER_DHT_2	0
139	ER_DHT_3	0
139	ER_Veh_1	0
139	ER_Veh_2	0
139	ER_Veh_3	0
140	ER_DHT_1	0
140	ER_DHT_2	0
140	ER_DHT_3	0
140	ER_Veh_1	0
140	ER_Veh_2	0
140	ER_Veh_3	0
141	ER_DHT_1	0
141	ER_DHT_2	0
141	ER_DHT_3	0
141	ER_Veh_1	0
141	ER_Veh_2	0
141	ER_Veh_3	0
142	ER_DHT_1	0
142	ER_DHT_2	0
142	ER_DHT_3	0
142	ER_Veh_1	0
142	ER_Veh_2	0
142	ER_Veh_3	0
143	ER_DHT_1	0
143	ER_DHT_2	0
143	ER_DHT_3	0
143	ER_Veh_1	0
143	ER_Veh_2	0
143	ER_Veh_3	0
144	ER_DHT_1	0
144	ER_DHT_2	0
144	ER_DHT_3	0
144	ER_Veh_1	0
144	ER_Veh_2	0
144	ER_Veh_3	0
145	ER_DHT_1	0
145	ER_DHT_2	0
145	ER_DHT_3	0
145	ER_Veh_1	0
145	ER_Veh_2	0
145	ER_Veh_3	0
146	ER_DHT_1	0
146	ER_DHT_2	0
146	ER_DHT_3	0
146	ER_Veh_1	0
146	ER_Veh_2	0
146	ER_Veh_3	0
147	ER_DHT_1	0
147	ER_DHT_2	0
147	ER_DHT_3	0
147	ER_Veh_1	0
147	ER_Veh_2	0
147	ER_Veh_3	0
148	ER_DHT_1	0
148	ER_DHT_2	0
148	ER_DHT_3	0
148	ER_Veh_1	0
148	ER_Veh_2	0
148	ER_Veh_3	0
149	ER_DHT_1	0
149	ER_DHT_2	0
149	ER_DHT_3	0
149	ER_Veh_1	0
149	ER_Veh_2	0
149	ER_Veh_3	0
150	ER_DHT_1	0
150	ER_DHT_2	0
150	ER_DHT_3	0
150	ER_Veh_1	0
150	ER_Veh_2	0
150	ER_Veh_3	0
151	ER_DHT_1	0
151	ER_DHT_2	0
151	ER_DHT_3	0
151	ER_Veh_1	0
151	ER_Veh_2	0
151	ER_Veh_3	0
152	ER_DHT_1	0
152	ER_DHT_2	0
152	ER_DHT_3	0
152	ER_Veh_1	0
152	ER_Veh_2	0
152	ER_Veh_3	0
153	ER_DHT_1	0
153	ER_DHT_2	0
153	ER_DHT_3	0
153	ER_Veh_1	0
153	ER_Veh_2	0
153	ER_Veh_3	0
154	ER_DHT_1	0
154	ER_DHT_2	0
154	ER_DHT_3	0
154	ER_Veh_1	0
154	ER_Veh_2	0
154	ER_Veh_3	0
155	ER_DHT_1	0
155	ER_DHT_2	0
155	ER_DHT_3	0
155	ER_Veh_1	0
155	ER_Veh_2	0
155	ER_Veh_3	0
156	ER_DHT_1	0
156	ER_DHT_2	0
156	ER_DHT_3	0
156	ER_Veh_1	0
156	ER_Veh_2	0
156	ER_Veh_3	0
157	ER_DHT_1	0
157	ER_DHT_2	0
157	ER_DHT_3	0
157	ER_Veh_1	0
157	ER_Veh_2	0
157	ER_Veh_3	0
158	ER_DHT_1	0
158	ER_DHT_2	0
158	ER_DHT_3	0
158	ER_Veh_1	0
158	ER_Veh_2	0
158	ER_Veh_3	0
159	ER_DHT_1	0
159	ER_DHT_2	0
159	ER_DHT_3	0
159	ER_Veh_1	0
159	ER_Veh_2	0
159	ER_Veh_3	0
160	ER_DHT_1	0
160	ER_DHT_2	0
160	ER_DHT_3	0
160	ER_Veh_1	0
160	ER_Veh_2	0
160	ER_Veh_3	0
161	ER_DHT_1	0
161	ER_DHT_2	0
161	ER_DHT_3	0
161	ER_Veh_1	0
161	ER_Veh_2	0
161	ER_Veh_3	0
162	ER_DHT_1	0
162	ER_DHT_2	0
162	ER_DHT_3	0
162	ER_Veh_1	0
162	ER_Veh_2	0
162	ER_Veh_3	0
163	ER_DHT_1	0
163	ER_DHT_2	0
163	ER_DHT_3	0
163	ER_Veh_1	0
163	ER_Veh_2	0
163	ER_Veh_3	0
164	ER_DHT_1	0
164	ER_DHT_2	0
164	ER_DHT_3	0
164	ER_Veh_1	0
164	ER_Veh_2	0
164	ER_Veh_3	0
165	ER_DHT_1	0
165	ER_DHT_2	0
165	ER_DHT_3	0
165	ER_Veh_1	0
165	ER_Veh_2	0
165	ER_Veh_3	0
166	ER_DHT_1	0
166	ER_DHT_2	0
166	ER_DHT_3	0
166	ER_Veh_1	0
166	ER_Veh_2	0
166	ER_Veh_3	0
167	ER_DHT_1	0
167	ER_DHT_2	0
167	ER_DHT_3	0
167	ER_Veh_1	0
167	ER_Veh_2	0
167	ER_Veh_3	0
168	ER_DHT_1	0
168	ER_DHT_2	0
168	ER_DHT_3	0
168	ER_Veh_1	0
168	ER_Veh_2	0
168	ER_Veh_3	0
169	ER_DHT_1	0
169	ER_DHT_2	0
169	ER_DHT_3	0
169	ER_Veh_1	0
169	ER_Veh_2	0
169	ER_Veh_3	0
170	ER_DHT_1	0
170	ER_DHT_2	0
170	ER_DHT_3	0
170	ER_Veh_1	0
170	ER_Veh_2	0
170	ER_Veh_3	0
171	ER_DHT_1	0
171	ER_DHT_2	0
171	ER_DHT_3	0
171	ER_Veh_1	0
171	ER_Veh_2	0
171	ER_Veh_3	0
172	ER_DHT_1	0
172	ER_DHT_2	0
172	ER_DHT_3	0
172	ER_Veh_1	0
172	ER_Veh_2	0
172	ER_Veh_3	0
173	ER_DHT_1	0
173	ER_DHT_2	0
173	ER_DHT_3	0
173	ER_Veh_1	0
173	ER_Veh_2	0
173	ER_Veh_3	0
174	ER_DHT_1	0
174	ER_DHT_2	0
174	ER_DHT_3	0
174	ER_Veh_1	0
174	ER_Veh_2	0
174	ER_Veh_3	0
175	ER_DHT_1	0
175	ER_DHT_2	0
175	ER_DHT_3	0
175	ER_Veh_1	0
175	ER_Veh_2	0
175	ER_Veh_3	0
176	ER_DHT_1	0
176	ER_DHT_2	0
176	ER_DHT_3	0
176	ER_Veh_1	0
176	ER_Veh_2	0
176	ER_Veh_3	0
177	ER_DHT_1	0
177	ER_DHT_2	0
177	ER_DHT_3	0
177	ER_Veh_1	0
177	ER_Veh_2	0
177	ER_Veh_3	0
178	ER_DHT_1	0
178	ER_DHT_2	0
178	ER_DHT_3	0
178	ER_Veh_1	0
178	ER_Veh_2	0
178	ER_Veh_3	0
179	ER_DHT_1	0
179	ER_DHT_2	0
179	ER_DHT_3	0
179	ER_Veh_1	0
179	ER_Veh_2	0
