fl	sample	correlation
110	AR_Veh_2	0
110	AR_Veh_3	0
110	AR_DHT_1	0
110	AR_DHT_2	0
110	AR_DHT_3	0
111	AR_Veh_1	0
111	AR_Veh_2	0
111	AR_Veh_3	0
111	AR_DHT_1	0
111	AR_DHT_2	0
111	AR_DHT_3	0
112	AR_Veh_1	0
112	AR_Veh_2	0
112	AR_Veh_3	0
112	AR_DHT_1	0
112	AR_DHT_2	0
112	AR_DHT_3	0
113	AR_Veh_1	0
113	AR_Veh_2	0
113	AR_Veh_3	0
113	AR_DHT_1	0
113	AR_DHT_2	0
113	AR_DHT_3	0
114	AR_Veh_1	0
114	AR_Veh_2	0
114	AR_Veh_3	0
114	AR_DHT_1	0
114	AR_DHT_2	0
114	AR_DHT_3	0
115	AR_Veh_1	0
115	AR_Veh_2	0
115	AR_Veh_3	0
115	AR_DHT_1	0
115	AR_DHT_2	0
115	AR_DHT_3	0
116	AR_Veh_1	0
116	AR_Veh_2	0
116	AR_Veh_3	0
116	AR_DHT_1	0
116	AR_DHT_2	0
116	AR_DHT_3	0
117	AR_Veh_1	0
117	AR_Veh_2	0
117	AR_Veh_3	0
117	AR_DHT_1	0
117	AR_DHT_2	0
117	AR_DHT_3	0
118	AR_Veh_1	0
118	AR_Veh_2	0
118	AR_Veh_3	0
118	AR_DHT_1	0
118	AR_DHT_2	0
118	AR_DHT_3	0
119	AR_Veh_1	0
119	AR_Veh_2	0
119	AR_Veh_3	0
119	AR_DHT_1	0
119	AR_DHT_2	0
119	AR_DHT_3	0
120	AR_Veh_1	0
120	AR_Veh_2	0
120	AR_Veh_3	0
120	AR_DHT_1	0
120	AR_DHT_2	0
120	AR_DHT_3	0
121	AR_Veh_1	0
121	AR_Veh_2	0
121	AR_Veh_3	0
121	AR_DHT_1	0
121	AR_DHT_2	0
121	AR_DHT_3	0
122	AR_Veh_1	0
122	AR_Veh_2	0
122	AR_Veh_3	0
122	AR_DHT_1	0
122	AR_DHT_2	0
122	AR_DHT_3	0
123	AR_Veh_1	0
123	AR_Veh_2	0
123	AR_Veh_3	0
123	AR_DHT_1	0
123	AR_DHT_2	0
123	AR_DHT_3	0
124	AR_Veh_1	0
124	AR_Veh_2	0
124	AR_Veh_3	0
124	AR_DHT_1	0
124	AR_DHT_2	0
124	AR_DHT_3	0
125	AR_Veh_1	0
125	AR_Veh_2	0
125	AR_Veh_3	0
125	AR_DHT_1	0
125	AR_DHT_2	0
125	AR_DHT_3	0
126	AR_Veh_1	0
126	AR_Veh_2	0
126	AR_Veh_3	0
126	AR_DHT_1	0
126	AR_DHT_2	0
126	AR_DHT_3	0
127	AR_Veh_1	0
127	AR_Veh_2	0
127	AR_Veh_3	0
127	AR_DHT_1	0
127	AR_DHT_2	0
127	AR_DHT_3	0
128	AR_Veh_1	0
128	AR_Veh_2	0
128	AR_Veh_3	0
128	AR_DHT_1	0
128	AR_DHT_2	0
128	AR_DHT_3	0
129	AR_Veh_1	0
129	AR_Veh_2	0
129	AR_Veh_3	0
129	AR_DHT_1	0
129	AR_DHT_2	0
129	AR_DHT_3	0
130	AR_Veh_1	0
130	AR_Veh_2	0
130	AR_Veh_3	0
130	AR_DHT_1	0
130	AR_DHT_2	0
130	AR_DHT_3	0
131	AR_Veh_1	0
131	AR_Veh_2	0
131	AR_Veh_3	0
131	AR_DHT_1	0
131	AR_DHT_2	0
131	AR_DHT_3	0
132	AR_Veh_1	0
132	AR_Veh_2	0
132	AR_Veh_3	0
132	AR_DHT_1	0
132	AR_DHT_2	0
132	AR_DHT_3	0
133	AR_Veh_1	0
133	AR_Veh_2	0
133	AR_Veh_3	0
133	AR_DHT_1	0
133	AR_DHT_2	0
133	AR_DHT_3	0
134	AR_Veh_1	0
134	AR_Veh_2	0
134	AR_Veh_3	0
134	AR_DHT_1	0
134	AR_DHT_2	0
134	AR_DHT_3	0
135	AR_Veh_1	0
135	AR_Veh_2	0
135	AR_Veh_3	0
135	AR_DHT_1	0
135	AR_DHT_2	0
135	AR_DHT_3	0
136	AR_Veh_1	0
136	AR_Veh_2	0
136	AR_Veh_3	0
136	AR_DHT_1	0
136	AR_DHT_2	0
136	AR_DHT_3	0
137	AR_Veh_1	0
137	AR_Veh_2	0
137	AR_Veh_3	0
137	AR_DHT_1	0
137	AR_DHT_2	0
137	AR_DHT_3	0
138	AR_Veh_1	0
138	AR_Veh_2	0
138	AR_Veh_3	0
138	AR_DHT_1	0
138	AR_DHT_2	0
138	AR_DHT_3	0
139	AR_Veh_1	0
139	AR_Veh_2	0
139	AR_Veh_3	0
139	AR_DHT_1	0
139	AR_DHT_2	0
139	AR_DHT_3	0
140	AR_Veh_1	0
140	AR_Veh_2	0
140	AR_Veh_3	0
140	AR_DHT_1	0
140	AR_DHT_2	0
140	AR_DHT_3	0
141	AR_Veh_1	0
141	AR_Veh_2	0
141	AR_Veh_3	0
141	AR_DHT_1	0
141	AR_DHT_2	0
141	AR_DHT_3	0
142	AR_Veh_1	0
142	AR_Veh_2	0
142	AR_Veh_3	0
142	AR_DHT_1	0
142	AR_DHT_2	0
142	AR_DHT_3	0
143	AR_Veh_1	0
143	AR_Veh_2	0
143	AR_Veh_3	0
143	AR_DHT_1	0
143	AR_DHT_2	0
143	AR_DHT_3	0
144	AR_Veh_1	0
144	AR_Veh_2	0
144	AR_Veh_3	0
144	AR_DHT_1	0
144	AR_DHT_2	0
144	AR_DHT_3	0
145	AR_Veh_1	0
145	AR_Veh_2	0
145	AR_Veh_3	0
145	AR_DHT_1	0
145	AR_DHT_2	0
145	AR_DHT_3	0
146	AR_Veh_1	0
146	AR_Veh_2	0
146	AR_Veh_3	0
146	AR_DHT_1	0
146	AR_DHT_2	0
146	AR_DHT_3	0
147	AR_Veh_1	0
147	AR_Veh_2	0
147	AR_Veh_3	0
147	AR_DHT_1	0
147	AR_DHT_2	0
147	AR_DHT_3	0
148	AR_Veh_1	0
148	AR_Veh_2	0
148	AR_Veh_3	0
148	AR_DHT_1	0
148	AR_DHT_2	0
148	AR_DHT_3	0
149	AR_Veh_1	0
149	AR_Veh_2	0
149	AR_Veh_3	0
149	AR_DHT_1	0
149	AR_DHT_2	0
149	AR_DHT_3	0
150	AR_Veh_1	0
150	AR_Veh_2	0
150	AR_Veh_3	0
150	AR_DHT_1	0
150	AR_DHT_2	0
150	AR_DHT_3	0
151	AR_Veh_1	0
151	AR_Veh_2	0
151	AR_Veh_3	0
151	AR_DHT_1	0
151	AR_DHT_2	0
151	AR_DHT_3	0
152	AR_Veh_1	0
152	AR_Veh_2	0
152	AR_Veh_3	0
152	AR_DHT_1	0
152	AR_DHT_2	0
152	AR_DHT_3	0
153	AR_Veh_1	0
153	AR_Veh_2	0
153	AR_Veh_3	0
153	AR_DHT_1	0
153	AR_DHT_2	0
153	AR_DHT_3	0
154	AR_Veh_1	0
154	AR_Veh_2	0
154	AR_Veh_3	0
154	AR_DHT_1	0
154	AR_DHT_2	0
154	AR_DHT_3	0
155	AR_Veh_1	0
155	AR_Veh_2	0
155	AR_Veh_3	0
155	AR_DHT_1	0
155	AR_DHT_2	0
155	AR_DHT_3	0
156	AR_Veh_1	0
156	AR_Veh_2	0
156	AR_Veh_3	0
156	AR_DHT_1	0
156	AR_DHT_2	0
156	AR_DHT_3	0
157	AR_Veh_1	0
157	AR_Veh_2	0
157	AR_Veh_3	0
157	AR_DHT_1	0
157	AR_DHT_2	0
157	AR_DHT_3	0
158	AR_Veh_1	0
158	AR_Veh_2	0
158	AR_Veh_3	0
158	AR_DHT_1	0
158	AR_DHT_2	0
158	AR_DHT_3	0
159	AR_Veh_1	0
159	AR_Veh_2	0
159	AR_Veh_3	0
159	AR_DHT_1	0
159	AR_DHT_2	0
159	AR_DHT_3	0
160	AR_Veh_1	0
160	AR_Veh_2	0
160	AR_Veh_3	0
160	AR_DHT_1	0
160	AR_DHT_2	0
160	AR_DHT_3	0
161	AR_Veh_1	0
161	AR_Veh_2	0
161	AR_Veh_3	0
161	AR_DHT_1	0
161	AR_DHT_2	0
161	AR_DHT_3	0
162	AR_Veh_1	0
162	AR_Veh_2	0
162	AR_Veh_3	0
162	AR_DHT_1	0
162	AR_DHT_2	0
162	AR_DHT_3	0
163	AR_Veh_1	0
163	AR_Veh_2	0
163	AR_Veh_3	0
163	AR_DHT_1	0
163	AR_DHT_2	0
163	AR_DHT_3	0
164	AR_Veh_1	0
164	AR_Veh_2	0
164	AR_Veh_3	0
164	AR_DHT_1	0
164	AR_DHT_2	0
164	AR_DHT_3	0
165	AR_Veh_1	0
165	AR_Veh_2	0
165	AR_Veh_3	0
165	AR_DHT_1	0
165	AR_DHT_2	0
165	AR_DHT_3	0
166	AR_Veh_1	0
166	AR_Veh_2	0
166	AR_Veh_3	0
166	AR_DHT_1	0
166	AR_DHT_2	0
166	AR_DHT_3	0
167	AR_Veh_1	0
167	AR_Veh_2	0
167	AR_Veh_3	0
167	AR_DHT_1	0
167	AR_DHT_2	0
167	AR_DHT_3	0
168	AR_Veh_1	0
168	AR_Veh_2	0
168	AR_Veh_3	0
168	AR_DHT_1	0
168	AR_DHT_2	0
168	AR_DHT_3	0
169	AR_Veh_1	0
169	AR_Veh_2	0
169	AR_Veh_3	0
169	AR_DHT_1	0
169	AR_DHT_2	0
169	AR_DHT_3	0
170	AR_Veh_1	0
170	AR_Veh_2	0
170	AR_Veh_3	0
170	AR_DHT_1	0
170	AR_DHT_2	0
170	AR_DHT_3	0
171	AR_Veh_1	0
171	AR_Veh_2	0
171	AR_Veh_3	0
171	AR_DHT_1	0
171	AR_DHT_2	0
171	AR_DHT_3	0
172	AR_Veh_1	0
172	AR_Veh_2	0
172	AR_Veh_3	0
172	AR_DHT_1	0
172	AR_DHT_2	0
172	AR_DHT_3	0
173	AR_Veh_1	0
173	AR_Veh_2	0
173	AR_Veh_3	0
173	AR_DHT_1	0
173	AR_DHT_2	0
173	AR_DHT_3	0
174	AR_Veh_1	0
174	AR_Veh_2	0
174	AR_Veh_3	0
174	AR_DHT_1	0
174	AR_DHT_2	0
174	AR_DHT_3	0
175	AR_Veh_1	0
175	AR_Veh_2	0
175	AR_Veh_3	0
175	AR_DHT_1	0
175	AR_DHT_2	0
175	AR_DHT_3	0
176	AR_Veh_1	0
176	AR_Veh_2	0
176	AR_Veh_3	0
176	AR_DHT_1	0
176	AR_DHT_2	0
176	AR_DHT_3	0
177	AR_Veh_1	0
177	AR_Veh_2	0
177	AR_Veh_3	0
177	AR_DHT_1	0
177	AR_DHT_2	0
177	AR_DHT_3	0
178	AR_Veh_1	0
178	AR_Veh_2	0
178	AR_Veh_3	0
178	AR_DHT_1	0
178	AR_DHT_2	0
178	AR_DHT_3	0
179	AR_Veh_1	0
179	AR_Veh_2	0
179	AR_Veh_3	0
179	AR_DHT_1	0
179	AR_DHT_2	0
